count,word,rank,cumulative_fraction
168,wahr,256,0.6959
168,geld,257,0.6964
166,machst,258,0.6968
165,hin,259,0.6973
164,lange,260,0.6977
163,frauen,261,0.6982
162,job,262,0.6986
161,kind,263,0.6991
161,fragen,264,0.6995
161,darüber,265,0.6999
160,sieh,266,0.7004
159,meinst,267,0.7008
158,wohnung,268,0.7012
158,verstehe,269,0.7017
158,allein,270,0.7021
157,würdest,271,0.7025
155,steht,272,0.7029
155,kerl,273,0.7034
154,seid,274,0.7038
153,geben,275,0.7042
151,nacht,276,0.7046
151,davon,277,0.705
150,sei,278,0.7054
149,zwar,279,0.7058
149,weiter,280,0.7062
148,mutter,281,0.7066
147,sagt,282,0.707
147,etwa,283,0.7074
147,durch,284,0.7078
146,wisst,285,0.7082
146,seine,286,0.7086
145,german,287,0.709
144,ohne,288,0.7094
144,deiner,289,0.7098
143,bekommen,290,0.7102
142,ab,291,0.7106
141,idee,292,0.711
141,heiraten,293,0.7114
140,daran,294,0.7117
140,dafür,295,0.7121
139,spielen,296,0.7125
139,rein,297,0.7129
138,klasse,298,0.7133
138,heißt,299,0.7136
137,wann,300,0.714
136,verrückt,301,0.7144
136,einmal,302,0.7148
135,solltest,303,0.7151
135,problem,304,0.7155
135,hören,305,0.7159
134,viele,306,0.7162
134,kinder,307,0.7166
133,freundin,308,0.7169
131,unsere,309,0.7173
131,sonst,310,0.7177
130,wär's,311,0.718
129,zwei,312,0.7184
129,wusste,313,0.7187
128,völlig,314,0.7191
128,denke,315,0.7194
127,gefühl,316,0.7198
126,wegen,317,0.7201
126,vielen,318,0.7204
126,spaß,319,0.7208
126,sache,320,0.7211
126,kleine,321,0.7215
126,iuntertiteli,322,0.7218
126,fertig,323,0.7222
126,des,324,0.7225
125,ihre,325,0.7228
124,helfen,326,0.7232
123,hatten,327,0.7235
122,schwester,328,0.7238
122,kriegen,329,0.7242
122,gehe,330,0.7245
121,konnte,331,0.7248
121,gedacht,332,0.7252
120,haus,333,0.7255
120,geller,334,0.7258
120,finden,335,0.7262
120,bleiben,336,0.7265
119,würden,337,0.7268
119,furchtbar,338,0.7271
118,schnell,339,0.7274
118,letzte,340,0.7278
118,dank,341,0.7281
118,angst,342,0.7284
117,zurück,343,0.7287
117,sprechen,344,0.7291
117,menschen,345,0.7294
117,dazu,346,0.7297
116,sollen,347,0.73
116,irgendwie,348,0.7303
116,entschuldige,349,0.7306
116,dr,350,0.731
115,warten,351,0.7313
115,vom,352,0.7316
115,lhre,353,0.7319
115,glaub,354,0.7322
114,wär,355,0.7325
114,diesem,356,0.7328
114,bett,357,0.7331
113,überhaupt,358,0.7334
113,welt,359,0.7338
113,treffen,360,0.7341
113,hause,361,0.7344
113,beim,362,0.7347
