count,word,rank,cumulative_fraction
163364,tarde,241,0.6362
161583,problema,242,0.6367
161428,quien,243,0.6371
161120,hora,244,0.6376
160000,eh,245,0.6381
159709,cierto,246,0.6385
156019,amor,247,0.639
155990,dicho,248,0.6394
154876,demasiado,249,0.6399
153486,entre,250,0.6403
151940,ve,251,0.6408
149286,pasado,252,0.6412
149132,estos,253,0.6417
148925,chica,254,0.6421
147953,policía,255,0.6425
147936,familia,256,0.6429
146650,debería,257,0.6434
146566,ustedes,258,0.6438
145489,esos,259,0.6442
143885,chicos,260,0.6446
142382,cuenta,261,0.6451
140159,todavía,262,0.6455
139963,algún,263,0.6459
139262,haces,264,0.6463
139222,salir,265,0.6467
137933,unos,266,0.6471
136633,amigos,267,0.6475
136265,veo,268,0.6479
136261,vaya,269,0.6483
134334,pensé,270,0.6487
134325,hermano,271,0.6491
132526,cabeza,272,0.6494
131745,sabía,273,0.6498
131249,cariño,274,0.6502
129775,hombres,275,0.6506
129006,buenas,276,0.651
128365,van,277,0.6513
128268,cualquier,278,0.6517
128178,forma,279,0.6521
128132,ah,280,0.6525
127782,digo,281,0.6528
127163,somos,282,0.6532
126655,debo,283,0.6536
126615,mientras,284,0.6539
125928,chico,285,0.6543
125922,lado,286,0.6547
124700,pueden,287,0.655
124500,caso,288,0.6554
124458,sería,289,0.6558
122393,primera,290,0.6561
122109,pasó,291,0.6565
121872,hice,292,0.6568
121291,quizá,293,0.6572
121224,genial,294,0.6575
120840,adiós,295,0.6579
120288,supuesto,296,0.6582
119653,muchas,297,0.6586
119125,esas,298,0.6589
118664,personas,299,0.6593
118591,durante,300,0.6596
118159,volver,301,0.66
118005,camino,302,0.6603
117870,contra,303,0.6606
117771,señora,304,0.661
117474,hablando,305,0.6613
117149,muerto,306,0.6617
115423,pues,307,0.662
114932,rápido,308,0.6623
114893,historia,309,0.6627
114676,cuál,310,0.663
114639,manera,311,0.6633
114114,supongo,312,0.6637
114030,nueva,313,0.664
113932,ayuda,314,0.6643
113715,iba,315,0.6647
113610,dentro,316,0.665
112894,casi,317,0.6653
112885,ves,318,0.6657
112745,persona,319,0.666
112248,quizás,320,0.6663
111793,entiendo,321,0.6666
111481,puerta,322,0.667
110847,hacia,323,0.6673
110692,semana,324,0.6676
110683,primero,325,0.6679
110457,pasar,326,0.6683
110360,espero,327,0.6686
109893,niños,328,0.6689
109777,significa,329,0.6692
109757,año,330,0.6695
108616,tío,331,0.6698
108537,suerte,332,0.6702
108529,juntos,333,0.6705
108371,hey,334,0.6708
107927,ciudad,335,0.6711
107483,pronto,336,0.6714
106368,feliz,337,0.6717
106206,siquiera,338,0.672
105998,minutos,339,0.6724
105076,gustaría,340,0.6727
104375,venir,341,0.673
103498,cuánto,342,0.6733
103370,muerte,343,0.6736
103106,realidad,344,0.6739
102721,hija,345,0.6742
101828,dejar,346,0.6745
101769,problemas,347,0.6748
101640,vi,348,0.6751
101594,corazón,349,0.6753
101326,deja,350,0.6756
100115,dijiste,351,0.6759
100069,importante,352,0.6762
100039,miedo,353,0.6765
99879,jefe,354,0.6768
99834,os,355,0.6771
99571,agua,356,0.6774
99275,horas,357,0.6777
99224,justo,358,0.678
98923,haré,359,0.6783
98836,da,360,0.6785
98515,esposa,361,0.6788
97713,buenos,362,0.6791
97386,manos,363,0.6794
96697,debes,364,0.6797
96685,ojos,365,0.68
96571,nuestros,366,0.6802
96313,viene,367,0.6805
95866,mano,368,0.6808
95825,adelante,369,0.6811
95665,poder,370,0.6814
95558,otros,371,0.6816
95155,cinco,372,0.6819
95118,viejo,373,0.6822
94932,bajo,374,0.6825
94880,encontrar,375,0.6827
94802,niño,376,0.683
94517,cara,377,0.6833
94372,ninguna,378,0.6836
94306,cuidado,379,0.6838
94055,cerca,380,0.6841
93999,noches,381,0.6844
93717,venga,382,0.6847
93524,mas,383,0.6849
