count,word,rank,cumulative_fraction
105587,serait,244,0.6774
105484,hé,245,0.6778
104737,merde,246,0.6783
104679,tuer,247,0.6787
104266,chance,248,0.6791
103722,pendant,249,0.6796
103531,parle,250,0.68
103495,idée,251,0.6804
103320,aurait,252,0.6808
103145,part,253,0.6813
101991,jours,254,0.6817
101970,elles,255,0.6821
101885,hui,256,0.6825
101363,demain,257,0.6829
101283,grand,258,0.6833
101135,ami,259,0.6838
100404,venir,260,0.6842
99954,tard,261,0.6846
99788,mec,262,0.685
98661,hein,263,0.6854
98502,petite,264,0.6858
98270,connais,265,0.6862
98261,passer,266,0.6866
98245,truc,267,0.687
97709,tant,268,0.6874
97674,combien,269,0.6878
96746,sens,270,0.6882
95874,pouvez,271,0.6886
94872,puis,272,0.689
94490,porte,273,0.6894
93833,super,274,0.6898
93750,sortir,275,0.6902
93202,heure,276,0.6905
93174,entendu,277,0.6909
92785,contre,278,0.6913
92571,coup,279,0.6917
92443,vient,280,0.6921
91604,comprends,281,0.6924
91585,allons,282,0.6928
91254,ensemble,283,0.6932
90581,nouveau,284,0.6936
90496,amour,285,0.6939
89427,importe,286,0.6943
89093,sang,287,0.6947
88229,désolée,288,0.695
86882,prends,289,0.6954
86717,sous,290,0.6958
86399,amis,291,0.6961
86166,cas,292,0.6965
85532,rester,293,0.6968
85515,tué,294,0.6972
85025,hommes,295,0.6975
84660,fini,296,0.6979
84383,devrais,297,0.6982
83621,question,298,0.6986
83464,dernière,299,0.6989
83441,partie,300,0.6992
82578,histoire,301,0.6996
82544,chercher,302,0.6999
82319,seulement,303,0.7003
82223,police,304,0.7006
82167,pensais,305,0.7009
82059,aide,306,0.7013
82039,demande,307,0.7016
81901,genre,308,0.702
81791,mois,309,0.7023
81726,frère,310,0.7026
79845,laisser,311,0.703
79834,car,312,0.7033
79473,mettre,313,0.7036
79159,aucun,314,0.7039
78801,laisse,315,0.7043
78397,eux,316,0.7046
78185,ville,317,0.7049
77905,chaque,318,0.7052
77578,parlé,319,0.7055
76987,arrivé,320,0.7059
76786,devrait,321,0.7062
75740,bébé,322,0.7065
75663,longtemps,323,0.7068
75487,heures,324,0.7071
75454,vont,325,0.7074
74848,putain,326,0.7077
74729,revoir,327,0.708
74505,aucune,328,0.7083
73849,place,329,0.7086
73686,ni,330,0.7089
72780,compris,331,0.7092
72674,savais,332,0.7095
72161,étaient,333,0.7098
71830,attention,334,0.7101
71674,voici,335,0.7104
71641,pourrais,336,0.7107
71472,affaire,337,0.711
71396,donner,338,0.7113
71350,type,339,0.7116
71280,leurs,340,0.7119
71119,donné,341,0.7122
71016,train,342,0.7125
71013,corps,343,0.7128
70885,endroit,344,0.7131
70500,yeux,345,0.7134
70465,façon,346,0.7136
70357,écoute,347,0.7139
70141,dont,348,0.7142
69532,trouve,349,0.7145
69513,premier,350,0.7148
69295,perdu,351,0.7151
69118,main,352,0.7154
69026,première,353,0.7156
68892,côté,354,0.7159
68874,pouvoir,355,0.7162
68647,vieux,356,0.7165
68535,sois,357,0.7168
68182,tiens,358,0.7171
68015,matin,359,0.7173
67790,tellement,360,0.7176
67723,enfant,361,0.7179
67592,point,362,0.7182
65979,venu,363,0.7184
65702,suite,364,0.7187
65301,pardon,365,0.719
65299,venez,366,0.7193
65248,devant,367,0.7195
65236,vers,368,0.7198
65225,minutes,369,0.7201
65005,demandé,370,0.7203
64815,chambre,371,0.7206
64250,mis,372,0.7209
64238,belle,373,0.7211
64213,droit,374,0.7214
64164,aimerais,375,0.7216
64160,mme,376,0.7219
64002,mari,377,0.7222
63987,cause,378,0.7224
63918,enfin,379,0.7227
63892,espère,380,0.723
63881,eau,381,0.7232
63844,attendez,382,0.7235
63809,parti,383,0.7238
63487,nouvelle,384,0.724
63347,boulot,385,0.7243
63294,arrêter,386,0.7245
63232,dirait,387,0.7248
63085,terre,388,0.7251
63071,compte,389,0.7253
62879,donne,390,0.7256
62705,loin,391,0.7258
62582,fin,392,0.7261
62453,croire,393,0.7263
62073,chérie,394,0.7266
61927,gros,395,0.7269
61598,plutôt,396,0.7271
61585,aura,397,0.7274
61284,filles,398,0.7276
60846,jouer,399,0.7279
60820,bureau,400,0.7281
60730,hier,401,0.7284
60560,prêt,402,0.7286
60126,mourir,403,0.7289
59694,voulait,404,0.7291
59311,celui,405,0.7293
59226,demander,406,0.7296
59165,possible,407,0.7298
58716,jeune,408,0.7301
58453,dehors,409,0.7303
58417,euh,410,0.7306
58012,école,411,0.7308
57774,beau,412,0.731
57758,appeler,413,0.7313
57181,semaine,414,0.7315
57134,propos,415,0.7317
56985,années,416,0.732
56860,femmes,417,0.7322
56677,vérité,418,0.7324
56434,chef,419,0.7327
56396,confiance,420,0.7329
56216,hey,421,0.7331
55745,regardez,422,0.7334
55553,feu,423,0.7336
55452,vivre,424,0.7338
55388,docteur,425,0.7341
54546,journée,426,0.7343
54200,près,427,0.7345
53984,affaires,428,0.7347
53694,madame,429,0.7349
53677,meilleur,430,0.7352
53575,dessus,431,0.7354
53293,prie,432,0.7356
53292,mains,433,0.7358
53117,penses,434,0.736
53032,téléphone,435,0.7363
52818,devez,436,0.7365
52771,dur,437,0.7367
52559,appelé,438,0.7369
52372,manger,439,0.7371
52329,garçon,440,0.7373
52281,grande,441,0.7376
52024,ait,442,0.7378
51998,mariage,443,0.738
51933,équipe,444,0.7382
51880,arriver,445,0.7384
51790,marche,446,0.7386
51487,dr,447,0.7388
51279,guerre,448,0.739
51170,essaie,449,0.7393
51067,derrière,450,0.7395
51062,dites,451,0.7397
51019,plein,452,0.7399
50945,important,453,0.7401
50753,fort,454,0.7403
50740,font,455,0.7405
50719,exactement,456,0.7407
50594,presque,457,0.7409
50497,parents,458,0.7411
50292,dernier,459,0.7413
50238,ii,460,0.7415
50122,pensé,461,0.7418
50097,fou,462,0.742
49655,fête,463,0.7422
49627,tomber,464,0.7424
49622,attendre,465,0.7426
49606,sécurité,466,0.7428
49470,ceux,467,0.743
49322,vue,468,0.7432
49057,jeu,469,0.7434
49011,génial,470,0.7436
48962,souviens,471,0.7438
48746,envie,472,0.744
47842,capitaine,473,0.7442
47590,pays,474,0.7444
47428,garde,475,0.7446
47251,cours,476,0.7448
47169,pos,477,0.745
47047,numéro,478,0.7452
47008,bientôt,479,0.7453
46622,cinq,480,0.7455
46612,parfait,481,0.7457
46528,laissé,482,0.7459
46467,minute,483,0.7461
46176,ainsi,484,0.7463
46147,personnes,485,0.7465
45826,autant,486,0.7467
45776,retour,487,0.7469
45641,essayé,488,0.7471
45456,peine,489,0.7472
45382,serai,490,0.7474
45323,instant,491,0.7476
45221,mauvais,492,0.7478
45146,arme,493,0.748
45101,prison,494,0.7482
45099,penser,495,0.7484
45095,mot,496,0.7485
44945,prend,497,0.7487
44891,semble,498,0.7489
44726,film,499,0.7491
44704,ben,500,0.7493
44505,quatre,501,0.7495
44416,essayer,502,0.7497
44404,rentrer,503,0.7498
44356,plan,504,0.75
44251,travailler,505,0.7502
44170,regarder,506,0.7504
43775,parfois,507,0.7506
43466,abord,508,0.7507
43340,voyez,509,0.7509
