count,word,rank,cumulative_fraction
46446,три,245,0.5824
46207,знал,246,0.5828
46097,хотите,247,0.5833
46082,говорить,248,0.5837
46026,действительно,249,0.5841
45904,скажи,250,0.5846
45875,совсем,251,0.585
45841,знает,252,0.5855
45727,давайте,253,0.5859
45625,прошу,254,0.5863
45544,моего,255,0.5868
45237,дом,256,0.5872
44976,должно,257,0.5876
44941,несколько,258,0.588
44896,какой,259,0.5885
44751,свои,260,0.5889
44698,вами,261,0.5893
44658,дела,262,0.5897
44282,говорит,263,0.5902
43969,черт,264,0.5906
43836,жаль,265,0.591
43684,происходит,266,0.5914
42954,папа,267,0.5918
42922,ваш,268,0.5922
42792,туда,269,0.5926
42020,про,270,0.593
41937,завтра,271,0.5934
41797,оно,272,0.5938
41697,уверен,273,0.5942
41660,самом,274,0.5946
41451,одна,275,0.595
41361,тех,276,0.5954
41279,перед,277,0.5958
41230,отсюда,278,0.5962
40457,наш,279,0.5966
40417,нее,280,0.597
40287,свой,281,0.5974
40184,нужна,282,0.5977
40133,мою,283,0.5981
39818,нужен,284,0.5985
39497,каждый,285,0.5989
39478,кого,286,0.5993
39453,работу,287,0.5996
39445,верно,288,0.6
39261,твоей,289,0.6004
38765,ж,290,0.6008
38641,будут,291,0.6011
38474,итак,292,0.6015
38459,имя,293,0.6019
38421,понял,294,0.6022
38289,пор,295,0.6026
37691,уж,296,0.6029
37561,надеюсь,297,0.6033
37516,против,298,0.6037
37418,хватит,299,0.604
37353,пошли,300,0.6044
37343,более,301,0.6047
37338,говорю,302,0.6051
36850,раньше,303,0.6054
36792,наверное,304,0.6058
36621,ребята,305,0.6061
36267,твои,306,0.6065
36263,ваша,307,0.6068
36241,дай,308,0.6072
36043,при,309,0.6075
35997,могли,310,0.6079
35918,нами,311,0.6082
35809,вообще,312,0.6085
35311,всю,313,0.6089
35266,мать,314,0.6092
34896,понимаешь,315,0.6095
34852,ко,316,0.6099
34763,идти,317,0.6102
34529,этих,318,0.6105
34408,извините,319,0.6109
34036,чём,320,0.6112
33967,ради,321,0.6115
33729,нельзя,322,0.6118
33719,такая,323,0.6122
33713,хотя,324,0.6125
33641,другой,325,0.6128
33554,виду,326,0.6131
33516,вижу,327,0.6134
33458,откуда,328,0.6138
33280,мисс,329,0.6141
33231,видеть,330,0.6144
33216,послушай,331,0.6147
32979,над,332,0.615
32612,могут,333,0.6153
32486,думала,334,0.6156
32433,будто,335,0.6159
32223,равно,336,0.6163
32169,между,337,0.6166
32051,зовут,338,0.6169
31994,подожди,339,0.6172
31971,скоро,340,0.6175
31814,этому,341,0.6178
31795,возьми,342,0.6181
31726,наши,343,0.6184
31722,извини,344,0.6187
31677,своего,345,0.619
31522,ясно,346,0.6193
31166,человека,347,0.6196
31128,вопрос,348,0.6199
31123,года,349,0.6202
31010,вещи,350,0.6205
30970,минут,351,0.6208
30953,руки,352,0.6211
30949,которая,353,0.6214
30868,почти,354,0.6216
30683,смотри,355,0.6219
30676,такие,356,0.6222
30484,могла,357,0.6225
30419,нормально,358,0.6228
30414,достаточно,359,0.6231
30294,видишь,360,0.6234
30167,работа,361,0.6237
30036,пару,362,0.624
30012,ночь,363,0.6242
29870,дня,364,0.6245
29810,господи,365,0.6248
29791,говоришь,366,0.6251
29708,весь,367,0.6254
29694,быстро,368,0.6257
29674,жить,369,0.6259
29508,сын,370,0.6262
29494,хоть,371,0.6265
29333,твою,372,0.6268
29220,ваше,373,0.6271
29091,посмотри,374,0.6273
29084,скажу,375,0.6276
28992,убить,376,0.6279
28984,слышал,377,0.6282
28847,пора,378,0.6284
28793,готов,379,0.6287
28733,собой,380,0.629
28725,имею,381,0.6293
28486,первый,382,0.6295
28337,неё,383,0.6298
28215,самое,384,0.6301
28085,видела,385,0.6303
28036,какая,386,0.6306
27859,смогу,387,0.6309
27826,сказали,388,0.6311
27820,плохо,389,0.6314
27668,миссис,390,0.6317
27656,рад,391,0.6319
27626,месте,392,0.6322
27613,никаких,393,0.6325
27567,насчет,394,0.6327
27561,иногда,395,0.633
27531,прав,396,0.6332
27505,нашли,397,0.6335
27504,отца,398,0.6338
27429,ваши,399,0.634
27419,детей,400,0.6343
27396,пусть,401,0.6346
27307,мое,402,0.6348
27289,своих,403,0.6351
27174,знаем,404,0.6353
26854,вроде,405,0.6356
26845,которую,406,0.6358
26721,пойду,407,0.6361
26699,сделала,408,0.6364
26616,смерти,409,0.6366
26614,таким,410,0.6369
26593,знала,411,0.6371
26563,произошло,412,0.6374
26533,говорила,413,0.6376
26400,собираюсь,414,0.6379
26388,рядом,415,0.6381
26366,случае,416,0.6384
26263,одного,417,0.6386
26109,правильно,418,0.6389
26039,увидеть,419,0.6391
26037,кем,420,0.6394
25991,мир,421,0.6396
25979,брат,422,0.6399
25917,пойти,423,0.6401
25908,такого,424,0.6404
25894,помощь,425,0.6406
25891,вчера,426,0.6408
25652,делает,427,0.6411
25619,говорят,428,0.6413
25584,одно,429,0.6416
25411,кроме,430,0.6418
25352,нашей,431,0.6421
25315,здорово,432,0.6423
25315,дверь,433,0.6425
25289,друга,434,0.6428
25284,женщина,435,0.643
25248,убил,436,0.6433
25227,будь,437,0.6435
25051,долго,438,0.6437
25025,важно,439,0.644
24964,номер,440,0.6442
24963,денег,441,0.6445
24929,хороший,442,0.6447
24781,вечером,443,0.6449
24732,одну,444,0.6452
24714,проблемы,445,0.6454
24682,вашей,446,0.6456
24679,работать,447,0.6459
24660,твоего,448,0.6461
24660,ночи,449,0.6463
24649,проблема,450,0.6466
24604,сама,451,0.6468
24464,уверена,452,0.647
24420,нужны,453,0.6473
24380,серьезно,454,0.6475
24372,машину,455,0.6477
24239,также,456,0.648
24208,тому,457,0.6482
24032,последний,458,0.6484
23954,пять,459,0.6487
23896,вернуться,460,0.6489
23881,дальше,461,0.6491
23877,моих,462,0.6493
23824,узнать,463,0.6496
23807,права,464,0.6498
23731,своим,465,0.65
23716,ночью,466,0.6502
23483,дети,467,0.6505
23399,те,468,0.6507
23389,чувствую,469,0.6509
23352,работает,470,0.6511
23302,давно,471,0.6514
23271,моим,472,0.6516
23247,чувак,473,0.6518
23221,чёрт,474,0.652
23188,две,475,0.6522
23175,жена,476,0.6525
23170,придется,477,0.6527
23144,опять,478,0.6529
23141,дорогая,479,0.6531
23140,одной,480,0.6533
23026,думаете,481,0.6536
22954,помнишь,482,0.6538
22952,сначала,483,0.654
22937,глаза,484,0.6542
22796,утром,485,0.6544
22633,ох,486,0.6547
22632,прекрасно,487,0.6549
22575,взять,488,0.6551
22566,парня,489,0.6553
22564,идея,490,0.6555
22507,часть,491,0.6557
22227,ними,492,0.6559
21999,большой,493,0.6562
21996,сделали,494,0.6564
21818,видели,495,0.6566
21780,сразу,496,0.6568
21779,слова,497,0.657
21714,помню,498,0.6572
21708,утро,499,0.6574
21542,сердце,500,0.6576
21484,стать,501,0.6578
21406,момент,502,0.658
21341,часов,503,0.6582
21294,скорее,504,0.6584
21291,наша,505,0.6586
21207,стал,506,0.6588
21160,смысле,507,0.659
21153,друзья,508,0.6592
21138,сильно,509,0.6594
20989,уйти,510,0.6596
20989,говори,511,0.6598
20921,ах,512,0.66
20882,имеет,513,0.6602
20859,год,514,0.6604
20828,которой,515,0.6606
20800,здравствуйте,516,0.6608
20765,которого,517,0.661
20739,работы,518,0.6612
20707,пойдем,519,0.6614
20506,боюсь,520,0.6616
20495,любовь,521,0.6618
20477,девушка,522,0.662
20471,голову,523,0.6622
20456,той,524,0.6624
20414,вечер,525,0.6626
20353,дочь,526,0.6628
20343,довольно,527,0.663
20310,твое,528,0.6632
20299,нашел,529,0.6634
20256,парни,530,0.6635
20210,дней,531,0.6637
20177,понятно,532,0.6639
20173,доме,533,0.6641
20123,новый,534,0.6643
20100,оба,535,0.6645
20065,хорошая,536,0.6647
20006,прежде,537,0.6649
19947,затем,538,0.6651
19933,бог,539,0.6653
19931,увидимся,540,0.6655
19920,поверить,541,0.6656
19902,дать,542,0.6658
19789,шанс,543,0.666
19784,пришел,544,0.6662
19712,сделаю,545,0.6664
19653,понять,546,0.6666
19567,рассказать,547,0.6668
19563,стой,548,0.667
19543,какого,549,0.6671
19540,столько,550,0.6673
19449,обо,551,0.6675
19391,та,552,0.6677
19327,быстрее,553,0.6679
19303,интересно,554,0.6681
19281,вашего,555,0.6683
19263,никого,556,0.6684
19242,самый,557,0.6686
19175,милая,558,0.6688
19147,ой,559,0.669
19114,умер,560,0.6692
19072,получить,561,0.6694
18983,слово,562,0.6695
18869,будете,563,0.6697
18854,однажды,564,0.6699
18841,обычно,565,0.6701
18819,полагаю,566,0.6702
18812,свое,567,0.6704
18797,странно,568,0.6706
18776,капитан,569,0.6708
18763,посмотреть,570,0.671
18751,вон,571,0.6711
18734,какие,572,0.6713
18687,чтоб,573,0.6715
18649,сможешь,574,0.6717
18614,ума,575,0.6719
18396,выглядит,576,0.672
18375,подумал,577,0.6722
18355,наших,578,0.6724
18354,приятно,579,0.6726
18288,алло,580,0.6727
18201,обратно,581,0.6729
18099,хотели,582,0.6731
18041,иначе,583,0.6732
18034,тело,584,0.6734
17915,говорите,585,0.6736
17889,другие,586,0.6738
17854,час,587,0.6739
17839,доброе,588,0.6741
17789,лицо,589,0.6743
17775,другом,590,0.6744
17700,нашего,591,0.6746
17698,мире,592,0.6748
17625,делал,593,0.6749
17621,мам,594,0.6751
17591,посмотрим,595,0.6753
17556,любит,596,0.6754
17543,джон,597,0.6756
17533,пытался,598,0.6758
17478,пути,599,0.6759
17447,насколько,600,0.6761
17395,пришли,601,0.6763
17387,честь,602,0.6764
17379,получил,603,0.6766
17368,типа,604,0.6768
17306,места,605,0.6769
17279,поздно,606,0.6771
17254,внимание,607,0.6773
17221,скажешь,608,0.6774
17149,правду,609,0.6776
17146,следующий,610,0.6778
17124,моё,611,0.6779
17093,план,612,0.6781
17092,кому,613,0.6782
17077,нем,614,0.6784
17074,телефон,615,0.6786
17062,кстати,616,0.6787
17056,хотят,617,0.6789
17048,город,618,0.6791
17040,i,619,0.6792
17037,говорили,620,0.6794
17018,думать,621,0.6795
17007,работе,622,0.6797
16991,решил,623,0.6799
16978,дорогой,624,0.68
16941,безопасности,625,0.6802
